StudyID,Reporting Study Parameters after 2020,Prevalence Risks of Bias after 2020,Search
01c35aeb-f00a-4369-b0bc-9ab61d7f6452,0.5,0.625,new
057046ea-e218-45cb-a35a-3decc91b15ec,0.444444444444444,0.625,new
1932ead6-8f56-43b1-8d16-2c1270ec1f2e,0.611111111111111,0.75,new
1a5ffe14-2588-42eb-81f6-b1a4eb9eaab7,0.722222222222222,0.625,new
21210901-0644-4180-bc51-b3c203a7f30b,0.388888888888889,0.625,new
23b4e656-ae2c-45b1-a8c7-39a98f5641a9,0.444444444444444,0.75,new
29be3aa3-85d2-45f6-8cc5-33524c4806b2,0.5,0.625,new
2a7ffb19-156c-4886-9824-782bb6ec9083,0.555555555555556,0.625,new
3deafa34-2e94-4886-ad77-3d4dcd184ebf,0.5,0.625,new
44debb78-93d5-4c64-9e2a-8d7205c2b740,0.444444444444444,0.75,new
54f14ed5-8dec-47e7-ba05-731064209336,0.5,0.625,new
6aad6b36-03be-483e-997a-195f37e12ba6,0.555555555555556,0.625,new
6e252884-a3d1-4b98-82fd-e75b58b8bfd7,0.555555555555556,0.75,new
727af27b-7e97-4231-8990-d5c66c2716bd,0.611111111111111,0.625,new
74149196-6f57-457c-9ad0-38d8e50504b6,0.555555555555556,0.625,new
8109c2d8-887f-443f-aa5f-2662efbde49b,0.444444444444444,0.625,new
85d22acb-4f69-4c31-9467-54ae3746388c,0.555555555555556,0.625,new
8bbf5c55-79b8-442f-ac26-9017b03552d8,0.611111111111111,0.625,new
972aa89d-1765-4999-b686-68107b6b36ee,0.5,0.625,new
98427cd0-1ead-4dbe-98fc-50f7be3f76c3,0.666666666666667,0.75,new
a1acbb60-cabb-46ba-b849-0257df1533a5,0.5,0.625,new
a9cced18-b11d-4dc7-90a5-4186440479e0,0.388888888888889,0.625,new
afb51732-b5b4-4a0d-95ff-a22836cacc5b,0.444444444444444,0.625,new
bcc38976-1383-45a0-b0ce-ce5ffd96812b,0.555555555555556,0.625,new
bcf7acb7-6422-445d-9690-270344b456fe,0.388888888888889,0.625,new
be089bd7-9b71-4425-a8ee-f019896999d9,0.444444444444444,0.625,new
c448ca29-4ed8-45f7-872d-2dde10f245d3,0.444444444444444,0.75,new
c716aeff-6d94-46f6-ba16-04b109000936,0.5,0.625,new
c9d3d38b-883c-4926-813a-45333b573f71,0.333333333333333,0.625,new
cad814c6-59d0-4aee-964b-402b510b2b08,0.444444444444444,0.625,new
cca1ed1d-e9e8-44b7-accd-4231658363b1,0.388888888888889,0.75,new
d046fea2-07c8-4970-b3c6-50118ef891f4,0.5,0.625,new
d5c7f846-d04a-42e0-af7c-b65f7bcb4cce,0.722222222222222,0.75,new
d60c33b7-5641-4cd9-a5ff-0a72ac41f4ab,0.333333333333333,0.625,new
d643df11-d366-487d-a3cc-332631ff13f4,0.444444444444444,0.625,new
d8231c09-2b12-4917-8f00-3203f08f8c0b,0.333333333333333,0.75,new
eb84584e-d8b8-4680-8a6c-d2428b2377a7,0.277777777777778,0.625,new
f3052da8-0d73-4368-a275-bdeb53adb956,0.388888888888889,0.75,new
f70a412a-f5c2-4b0f-93c1-355530a1d447,0.5,0.625,new
fa4b6854-fa9f-4164-baca-3311fd4a21e4,0.888888888888889,0.75,new
4a5de13a-a78e-4f61-ad28-59d4e30680c0,0.444444444444444,0.625,new
01784eb2-1068-469a-99e9-530f57b43e7d,0.388888888888889,0.75,old
0758b223-36e9-49bb-b7f3-128c15808a1b,0.333333333333333,0.75,old
07639453-4cdd-4a54-add6-4a7d382fc5dc,0.444444444444444,0.625,old
086dce0d-1142-4bf2-bd43-9533e23bfb18,0.444444444444444,0.5,old
0a8024aa-6d58-43b2-96ea-61543cae0549,0.555555555555556,0.5,old
0bcb0299-c385-4142-93f6-6ee7d5767ee6,0.555555555555556,0.625,old
0bf1cda2-d9a8-491b-9086-af32efd2810a,0.5,0.5,old
1e165179-cc1f-4fef-bbdb-97756651583d,0.388888888888889,0.5,old
1ef05e18-9607-4927-9137-69fd633b2773,0.333333333333333,0.625,old
1ff23659-a3b2-41fd-80ea-4116183d0f15,0.5,0.5,old
22d86549-4c32-417f-b3a6-4af9ba1dcb23,0.444444444444444,0.5,old
29c27c2f-6689-4843-9d70-45705f4d8a55,0.444444444444444,0.5,old
2dd2d18e-08e0-4d30-9a82-9d28043244c8,0.444444444444444,0.625,old
31268e7c-5b50-47cb-81cd-65a249bedf43,0.611111111111111,0.625,old
328a9e48-df61-4a25-bff9-ed2c9cb6edb8,0.5,0.75,old
35c0a928-2ad6-4912-919e-46eab215fafb,0.333333333333333,0.75,old
35e10def-f7d7-4c8c-a02b-922b44510337,0.5,0.625,old
36e240d7-a03b-4879-afc8-a484f9e8ba4e,0.555555555555556,0.625,old
3791e67c-f846-43b9-be72-6f3711359c63,0.444444444444444,0.625,old
399b4c31-88e5-4430-8324-090dc87864db,0.555555555555556,0.5,old
3b27a4cf-4334-48f3-a0ff-0368092c00ec,0.388888888888889,0.75,old
3c41250d-a6ef-47cd-bdce-1323921aa009,0.388888888888889,0.625,old
3dbdbe41-d0eb-48c1-b17f-220b052d1937,0.444444444444444,0.5,old
3eedd5d4-fa1a-4ae8-ad65-8cab83302689,0.5,0.625,old
41561b20-5972-4095-aa53-32465f12d018,0.5,0.625,old
427b652e-42e6-436e-bbd4-387c914bca80,0.333333333333333,0.625,old
4460c6e8-45ac-4cf5-9d06-ebbdaafb7912,0.444444444444444,0.75,old
48a8b193-0684-4a6b-b3bc-47f74d80bd32,0.5,0.5,old
4b98515f-057a-4d17-af4a-527e9b58ec36,0.555555555555556,0.5,old
4f7e8b69-fe49-476a-bf2c-b8e84d4229ba,0.444444444444444,0.75,old
4f9f553b-8395-4825-9e9f-78142dcb0869,0.444444444444444,0.75,old
51aab400-324d-4dc8-b234-6fcd1ad1d33b,0.444444444444444,0.875,old
545a7bc3-c653-410d-883e-f33e1f323ac0,0.611111111111111,0.75,old
55cfea10-a7ad-4ac9-bf31-dccab2c65826,0.444444444444444,0.5,old
5925c028-4c05-4622-bb34-12e135d25823,0.555555555555556,0.5,old
5aa91e77-7ec3-40da-9680-37ce98a0ebbf,0.388888888888889,0.75,old
5c654622-5140-4889-b524-c32a4a82c156,0.555555555555556,0.625,old
5d6b5ba3-32aa-4c8e-bcbc-0bc0b4efc606,0.388888888888889,0.625,old
5ebff77b-4b7f-4c6e-a87c-f639a8e2386b,0.5,0.5,old
62452ec0-afbf-4afd-b275-20070bbf2e65,0.277777777777778,0.75,old
627d5a8d-c882-4fd4-aabd-79b753123d56,0.388888888888889,0.75,old
62f09eb5-98ed-4e5c-9229-8f53ab00d321,0.5,0.75,old
64a785ad-4714-4ec6-b731-4d66128602f7,0.555555555555556,0.5,old
65125fda-7b0f-44e5-8f71-2505146d4f2e,0.5,0.5,old
65b98083-98fc-469f-bd94-4a2074894498,0.5,0.75,old
65e0c64b-fd79-4f96-b170-ef785d6aa038,0.722222222222222,0.75,old
6609317e-1707-409d-a88f-9f7101cdbc4b,0.388888888888889,0.625,old
66cb1b02-278c-447d-a677-1ec012401dac,0.388888888888889,0.5,old
672fe86b-5b54-48fe-b85e-20e6e9af8a37,0.5,0.625,old
6c82fe2d-af65-4466-aaff-0cb0287e58dd,0.444444444444444,0.625,old
6d0d55bd-4206-4392-ba03-1f97fa9a84fe,0.5,0.5,old
6f3a6613-897c-4bb6-9f5a-a510bf1ec6ad,0.611111111111111,0.5,old
6ff3ffed-9aa8-4cb8-b627-58167d051aa9,0.611111111111111,0.75,old
7021fc36-9b7f-4195-af23-2b08ef9541af,0.5,0.75,old
71917ccc-72d3-4c44-b454-3c0a9aadfbcb,0.555555555555556,0.75,old
73124c38-128e-49cc-8c2e-a5c3363b911e,0.333333333333333,0.625,old
7786d6d4-34ce-406f-9f90-ac4695aa0ac8,0.555555555555556,0.625,old
7ac572dd-593a-45e8-bbdc-2908206558b2,0.444444444444444,0.5,old
7c3ed203-d964-44e5-ac75-871625a46c55,0.333333333333333,0.625,old
803a5cdf-ab6b-4f76-b286-35a14c443612,0.555555555555556,0.5,old
828c1097-b791-43fe-9bf8-3cc8b020bdd7,0.388888888888889,0.75,old
8348eaa2-160b-49e9-9a8a-cab250a0a730,0.5,0.875,old
86d1eac3-4f54-4d81-bd3d-673f115de939,0.611111111111111,0.75,old
8ac4c81e-cc63-4d82-8281-1bbd8ded58fd,0.5,0.625,old
8b82677b-2876-410c-8bb2-297b92608121,0.5,0.625,old
8b9ae2a8-c96e-483f-acb0-5fba62c8af38,0.5,0.75,old
90666892-d59e-4a37-be2b-4c003e810827,0.555555555555556,0.625,old
91eebf00-13ac-472f-9f48-cc8989f83c95,0.333333333333333,0.75,old
932116ba-5dd7-42dc-be8b-0056f998b9c8,0.611111111111111,0.5,old
943294a2-8777-482b-ac29-181e35f52192,0.388888888888889,0.625,old
945a766c-cc8f-4479-9db0-aade32bc15b9,0.388888888888889,0.75,old
97f8af00-a756-49b0-b3f5-f76858ae5dbe,0.555555555555556,0.75,old
9a9433d1-7245-4510-9f56-8032ad295081,0.388888888888889,0.5,old
9c39873d-c167-42cd-9fd5-7c3e92bf7ffa,0.666666666666667,0.75,old
9cb3f84c-86a8-42e7-9237-77684a4af6ec,0.611111111111111,0.625,old
9deed9c3-3f5b-4d43-89d2-22f128a03258,0.5,0.625,old
9f69cc7c-6213-447a-8b4f-d0b3d080596a,0.5,0.875,old
a21e9270-0aa7-4563-9499-5a6ea72b652e,0.388888888888889,0.625,old
a47caeef-d61b-4b62-9781-d0a59f1bdf0c,0.555555555555556,0.75,old
a5eea77e-d942-42de-9d14-318ea8c5a802,0.444444444444444,0.5,old
a729a71e-a8ac-4201-98fc-13363c7932a6,0.333333333333333,0.5,old
a72e4b21-2294-41cd-b386-f4c69d93481e,0.5,0.75,old
ad1b25e3-3281-4c87-89c2-d3894df7a33a,0.388888888888889,0.625,old
afeaea9e-1bb7-4314-881a-ea9811b22186,0.277777777777778,0.625,old
b1c376e5-7358-4b31-b62c-d878e7c9ce68,0.611111111111111,0.625,old
b1c9aa20-6bae-4900-9ebd-e009dcf7628b,0.5,0.625,old
b3599eec-a611-4133-8030-42371542a2ef,0.555555555555556,0.875,old
b44673a3-7db7-44ef-a555-4b6b9a049f9b,0.444444444444444,0.5,old
b4dae4ce-99ef-413e-accc-8f6c58fea931,0.5,0.75,old
b5a1af17-52df-4ecc-997c-68d8919c2d83,0.611111111111111,0.625,old
bb056e51-f833-4bbc-a8f1-eecfe62bf9c9,0.5,0.625,old
bbcbd017-25aa-424b-9363-4c7ef5a52d7b,0.555555555555556,0.75,old
bf81dcce-7a42-4509-af83-30521c164d77,0.277777777777778,0.5,old
c1683855-0076-441f-99c7-0cdc8e3873f1,0.444444444444444,0.875,old
c2320d09-2c4f-413e-b3e3-a2f5a896a357,0.444444444444444,0.75,old
c23a74cd-5366-43a3-9328-b684438a02d2,0.5,0.625,old
c70fc84a-003c-492c-85d3-bafa0fdbf122,0.388888888888889,0.625,old
c92f3d8e-63b4-4fa6-a009-a4cc5bdd71fc,0.333333333333333,0.625,old
cc7b32c6-5485-4ed8-90cf-562706fa6955,0.388888888888889,0.75,old
cd442914-dc00-4830-a343-658924849695,0.555555555555556,0.75,old
cd9cc8b6-ff29-4acd-a1d6-4b1c4764daad,0.555555555555556,0.5,old
cea51952-de58-4120-8cc1-dc6a2a441661,0.611111111111111,0.625,old
cfce2e42-f3af-4fbf-b146-829d6c4ddb9e,0.5,0.625,old
d033365b-a968-4559-ab12-2ea17e5908e1,0.5,0.5,old
d0b94a30-f0a6-4b12-9256-a6de9c8ca597,0.444444444444444,0.5,old
d2d89a0d-36f5-4b24-a5bb-47d2639d31d4,0.333333333333333,0.75,old
d306050e-218a-4db8-bbc0-3a174f59beae,0.444444444444444,0.5,old
d35a2ba9-5cdd-4314-aa6c-b2e3b01d3f6b,0.333333333333333,0.75,old
d44f6fda-2053-49b0-a99e-b15975841e14,0.277777777777778,0.75,old
d4ac184c-157a-48f5-a6dc-4b063a5e39e4,0.388888888888889,0.5,old
d584db75-fc52-4781-8280-3e89a1e6ace0,0.333333333333333,0.75,old
d5df5767-86c8-4c6b-96d0-acad2db2d863,0.611111111111111,0.5,old
d7b2b063-f0a5-496a-92f0-bb7a5920e241,0.611111111111111,0.625,old
d96e3310-73e6-4d24-b7cb-bdcaf1ec0efd,0.444444444444444,0.75,old
db764b96-86d1-4aee-961e-b85e0cda55cf,0.388888888888889,0.75,old
de2d96d2-bbff-462a-b344-fa179031f126,0.444444444444444,0.5,old
e1b12f59-eddd-46a8-871e-fc28b5d14d06,0.5,0.625,old
e3d07e37-7606-446e-bac2-39fbda6d045d,0.388888888888889,0.5,old
e655f8ff-ca46-4d8e-b718-9d613cec8733,0.5,0.625,old
e663f863-adf2-419b-ada9-bebffcdfd05a,0.555555555555556,0.75,old
e76f5704-1e0d-4416-97d8-f47b618ccd3d,0.388888888888889,0.625,old
e8c88cd2-830a-4b62-95e8-18fdeaa25347,0.611111111111111,0.625,old
e97857cd-aa4e-4af4-9448-6f6973fd6755,0.388888888888889,0.625,old
ead849ed-5eaa-4015-a924-d03a30dbfebb,0.444444444444444,0.5,old
ee686ee8-038b-47d2-9995-37183f9c51be,0.444444444444444,0.75,old
f04bbf0d-ad97-456f-b72e-d979a3d06abd,0.611111111111111,0.75,old
f08c5376-874b-4753-b626-98f3d9870491,0.555555555555556,0.75,old
f0c825a5-5083-4867-8af2-38cf451117c6,0.555555555555556,0.875,old
f2a0de99-cc26-41ee-9b95-269ba42b2051,0.5,0.5,old
f3d71ce9-7c96-4de2-aec1-9d4e3cdb959a,0.444444444444444,0.5,old
f519c5fc-9a40-4cd0-a437-e65cd2097d33,0.555555555555556,0.5,old
f6ee1fa2-27e8-423e-b13d-1c8935438f4f,0.444444444444444,0.5,old
f72cceb0-db8a-40e0-b989-887271dc61ec,0.333333333333333,0.75,old
fa8c41e6-ab4d-4e97-a846-75208625a8cc,0.166666666666667,0.75,old
fa97ee03-bef2-4837-9b71-15bf91056323,0.5,0.75,old
fd93d05d-13dc-42fe-871c-5e020977592a,0.444444444444444,0.5,old
ff2133b8-10bc-415d-b23a-e4327f028d59,0.5,0.5,old
